Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,1/1/2020,0,0,0,0,27.5,31.1,25.4,22,56.5,1.4439,103.7854
North,Admiralty,2/1/2020,0,0,0,0,27.7,30.7,25.9,24.5,60.5,1.4439,103.7854
North,Admiralty,3/1/2020,0,0,0,0,27.9,32.7,24.8,20.2,51.1,1.4439,103.7854
North,Admiralty,4/1/2020,0.4,0.4,0.4,0.4,29.2,35.7,26,13.7,34.6,1.4439,103.7854
North,Admiralty,5/1/2020,8.6,2.6,4.4,8.6,26.3,30.4,24.7,9.7,41.5,1.4439,103.7854
North,Admiralty,6/1/2020,10,4.8,NA,NA,26.4,30.4,24.2,11.1,38.9,1.4439,103.7854
North,Admiralty,7/1/2020,5.6,5.6,5.6,5.6,28.7,32.3,24.6,8.2,34.3,1.4439,103.7854
North,Admiralty,8/1/2020,1,0.4,0.6,0.8,28.4,32.3,24.5,8.8,34.3,1.4439,103.7854
North,Admiralty,9/1/2020,1.4,1.4,1.4,1.4,28.9,32.7,26.8,10.3,37.4,1.4439,103.7854
North,Admiralty,10/1/2020,8,5,5.2,5.4,26.5,29.6,23.9,9.9,32.4,1.4439,103.7854
North,Admiralty,11/1/2020,0,0,0,0,27.3,32,24.6,11.3,35,1.4439,103.7854
North,Admiralty,12/1/2020,0,0,0,0,28.6,32.6,25.1,12.1,26.7,1.4439,103.7854
North,Admiralty,13/1/2020,0,0,0,0,27.2,31.7,24.3,19.1,43.6,1.4439,103.7854
North,Admiralty,14/1/2020,0,0,0,0,27.2,31.8,24.6,20.9,45,1.4439,103.7854
North,Admiralty,15/1/2020,1,1,1,1,27.2,30.5,25.2,19.8,49,1.4439,103.7854
North,Admiralty,16/1/2020,0.2,0.2,0.2,0.2,27.5,31.6,25.9,17.3,38.9,1.4439,103.7854
North,Admiralty,17/1/2020,0,0,0,0,27.8,32.4,24.8,19.8,42.8,1.4439,103.7854
North,Admiralty,18/1/2020,0.2,0.2,0.2,0.2,27.7,32.1,25.4,19.1,43.9,1.4439,103.7854
North,Admiralty,19/1/2020,0,0,0,0,28,32.6,25.6,22,47.9,1.4439,103.7854
North,Admiralty,20/1/2020,0,0,0,0,27.6,31.5,25.8,22,55.1,1.4439,103.7854
North,Admiralty,21/1/2020,24.6,10.6,12.6,13.8,25.9,27.6,24.1,19.4,50,1.4439,103.7854
North,Admiralty,22/1/2020,0,0,0,0,27.6,31.6,25,23,49.7,1.4439,103.7854
North,Admiralty,23/1/2020,0,0,0,0,27.7,31.9,25.2,19.8,46.1,1.4439,103.7854
North,Admiralty,24/1/2020,0,0,0,0,27.6,31.3,25,21.2,47.5,1.4439,103.7854
North,Admiralty,25/1/2020,0,0,0,0,27.6,32.7,24.4,19.4,41,1.4439,103.7854
North,Admiralty,26/1/2020,0,0,0,0,28.1,33.7,24.8,17.3,41,1.4439,103.7854
North,Admiralty,27/1/2020,39.8,22.2,33.6,39,27.4,33.3,23.8,16.2,35.3,1.4439,103.7854
North,Admiralty,28/1/2020,0,0,0,0,28.2,33,25.7,16.9,38.9,1.4439,103.7854
North,Admiralty,29/1/2020,54.2,22.4,25.4,26,26,29.3,23.3,12.6,52.2,1.4439,103.7854
North,Admiralty,30/1/2020,0,0,0,0,26.9,31.8,23.4,17.6,44.6,1.4439,103.7854
North,Admiralty,31/1/2020,0,0,0,0,27.9,31.9,25.7,22.3,52.2,1.4439,103.7854
North,Admiralty,1/2/2020,0,0,0,0,27.4,30.3,25,20.2,57.6,1.4439,103.7854
North,Admiralty,2/2/2020,0,0,0,0,27.2,30.9,25.5,25.2,61.6,1.4439,103.7854
North,Admiralty,3/2/2020,0,0,0,0,28,32.8,24.9,19.1,43.9,1.4439,103.7854
North,Admiralty,4/2/2020,5,3,4.6,5,28.5,35.2,25.3,15.4,51.1,1.4439,103.7854
